,Academic Year,Mobility Duration,Field of Education,Participant Country,Education Level,Participant Gender,Fewer Opportunities,Participant Age,Sending Country,Sending City,Sending Organization,Receiving Country,Receiving City,Receiving Organization
199351,2022,286,Business and administration,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,1,22,Italy,SASSARI,UNISS,Czechia,Praha - Suchdol,"CZU, Czech University of Life Sciences Prague"
332225,2015,152,Electricity and energy,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,-,24,Germany,Karlsruhe,KARLSRUHER INSTITUT FUER TECHNOLOGIE,Spain,Barcelona,UNIVERSITAT DE BARCELONA
300436,2023,134,Journalism and information,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,21,Spain,CERDANYOLA BARCELONA,UNIVERSITAT AUTONOMA DE BARCELONA,Belgium,BRUXELLES,HEG
622482,2019,300,Architecture and town planning,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,25,Italy,L AQUILA,UNIVERSITA DEGLI STUDI DELL'AQUILA,Spain,VALENCIA,UNIVERSITAT POLITECNICA DE VALENCIA
577323,2016,241,Political sciences and civics,Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Yes,22,United Kingdom,EDINBURGH,THE UNIVERSITY OF EDINBURGH,France,ST MARTIN D'HERES,INSTITUT D ETUDES POLITIQUES DE GRENOBLE
99356,2022,142,"Fashion, interior and industrial design",Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,21,Spain,VIC BARCELONA,UNIVERSITAT DE VIC UVIC UCC,Belgium,BRUSSEL,LUCA
754807,2024,121,Psychology,Belgium,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,1,21,Belgium,Leuven,KATHOLIEKE UNIVERSITEIT LEUVEN,Austria,Wenen,UNIVERSITAT WIEN
103664,2022,106,Economics,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,21,Spain,BARCELONA,UPF,Portugal,LISBOA,UNL
287952,2024,159,Information and Communication Technologies (ICTs),Estonia,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,20,Estonia,TALLINN,TalTech,France,VILLEURBANNE CEDEX,INSA LYON
315184,2015,119,"Fashion, interior and industrial design",Czech Republic,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,28,Czech Republic,Praha,Vysoka skola umeleckoprumyslova v Praze,Netherlands,Amsterdam,Lex Pott
198913,2014,151,Food processing,Turkey,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,22,Turkey,DENIZLI,Pamukkale Universitesi,Poland,Krakow,Uniwersytet Rolniczy im. Hugona Kollataja w Krakowie
269149,2021,150,Environmental sciences,Poland,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,28,Poland,WROCLAW,UNIWERSYTET WROCLAWSKI,Austria,WIEN,UNIVERSITAT WIEN
28518,2014,184,Chemical engineering and processes,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,16,Germany,DORTMUND,TECHNISCHE UNIVERSITAT DORTMUND,Netherlands,AC Gorinchem,Corbion Purac
413290,2024,120,Building and civil engineering,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,23,France,Strasbourg,-,Bulgaria,Sofia,"VSU ""L. Karavelov"""
595254,2021,62,Nursing and midwifery,Ireland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Ireland,DUBLIN,"THE PROVOST, FELLOWS, FOUNDATION SCHOLARS & THE OTHER MEMBERS OF BOARD OF THE COLLEGE OF THE HOLY & UNDIVIDED TRINITY OF QUEEN ELIZABETH NEAR DUBLIN",Malta,MSIDA,UNIVERSITA TA MALTA
34524,2014,176,Medicine,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,23,Germany,D�sseldorf,HEINRICH-HEINE-UNIVERSITAET DUESSELDORF,Finland,"Joensuu, Kuopio, Savonlinna",ITA-SUOMEN YLIOPISTO
197559,2016,158,Languages,Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Italy,MILANO,UNIVERSITA DEGLI STUDI DI MILANO,Spain,LEIOA,UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA
302796,2017,90,Biology,Romania,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,22,Romania,CLUJ NAPOCA,UNIVERSITATEA BABES BOLYAI,Hungary,SZEGED,SZEGEDI TUDOMANYEGYETEM
67664,2017,112,Medicine,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,31,Germany,Bonn,RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITAT BONN,France,"Fort de France, Martinique",Centre hospitaier universitaire de Fort-de-France
540945,2023,138,Literature and linguistics,Algeria,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,1,22,Algeria,EL OUED,-,Latvia,RIGA,RIGAS TEHNISKA UNIVERSITATE
582560,2018,129,Political sciences and civics,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,23,Italy,PADOVA,UNIVERSITA DEGLI STUDI DI PADOVA,France,Nanterre,UNIVERSITE PARIS NANTERRE
546645,2018,148,Electronics and automation,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,Yes,22,France,Orl�ans,UNIVERSITE D'ORLEANS,Italy,Padova,UNIVERSITA DEGLI STUDI DI PADOVA
563145,2019,138,Sociology and cultural studies,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Yes,20,Spain,LEIOA,UNIVERSIDAD DEL PAIS VASCO/ EUSKAL HERRIKO UNIBERTSITATEA,Poland,CRACOVIA,UNIWERSYTET JAGIELLONSKI
475758,2015,91,Law,Poland,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,24,Poland,BIALYSTOK,UNIWERSYTET W BIALYMSTOKU,Germany,Berlin,Dariusz Lockau 0700-KSIEGOWY
507287,2019,105,Arts,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,25,Germany,Osnabrück,UNIVERSITAET OSNABRUECK,Portugal,Lisboa,UNIVERSIDADE DE LISBOA
253870,2021,164,Architecture and town planning,Netherlands,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,???,21,Netherlands,Amsterdam,STICHTING HOGESCHOOL VAN AMSTERDAM,Germany,Berlin,BERLINER HOCHSCHULE FUER TECHNIK
472409,2022,127,"Fashion, interior and industrial design",Netherlands,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,24,Netherlands,Delft,TU Delft,Italy,Milano,POLITECNICO DI MILANO
226411,2022,139,Business and administration,Netherlands,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,1,24,Netherlands,AMSTERDAM,Vrije Universiteit Amsterdam,Spain,BARCELONA,UNIVERSITAT DE BARCELONA
82945,2019,147,Arts,Ireland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Ireland,DUBLIN 8,NATIONAL COLLEGE OF ART AND DESIGN,Netherlands,UTRECHT,STICHTING HOGESCHOOL VOOR DE KUNSTEN UTRECHT
83872,2017,133,Languages,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,Germany,Mainz,Johannes Gutenberg-Universität Mainz,Spain,Salamanca,UNIVERSIDAD DE SALAMANCA
410907,2014,80,Management and administration,Ireland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,France,CERGY PONTOISE CEDEX,ASSOCIATION GROUPE ESSEC,Ireland,DUBLIN,COFACE UK
226128,2016,109,Business and administration,Ghana,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,24,Netherlands,The Hague,STICHTING HOGER BEROEPSONDERWIJN HAAGLANDEN,Slovakia,Bratislava,EKONOMICKA UNIVERZITA V BRATISLAVE
788426,2023,140,Building and civil engineering,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,27,Italy,MILANO,POLITECNICO DI MILANO,Spain,SEVILLA,USE
619165,2023,6,Mathematics,Portugal,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,1,26,Portugal,BRAGA,UMINHO,Spain,VALENCIA,UVEG
85625,2021,181,Food processing,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,25,Netherlands,WAGENINGEN,WAGENINGEN UNIVERSITY,Spain,CARTAGENA,UNIVERSIDAD POLITECNICA DE CARTAGENA
364830,2015,262,Architecture and town planning,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,-,21,Spain,Valladolid,UNIVERSIDAD DE VALLADOLID,Poland,KRAKÓW,POLITECHNIKA KRAKOWSKA
268394,2015,116,Political sciences and civics,Turkey,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Turkey,BURSA,ULUDAG UNIVERSITESI,Poland,RADOM,WYZSZA SZKOLA HANDLOWA
864522,2024,258,Languages,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,23,France,Strasbourg,UNISTRA,Ireland,Limerick,UNIVERSITY OF LIMERICK
409182,2022,259,Literature and linguistics,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,20,Spain,Madrid,UNIVERSIDAD COMPLUTENSE DE MADRID,Slovenia,Ljubljana,UL
373141,2022,120,Political sciences and civics,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,22,Germany,München,TECHNISCHE UNIVERSITAET MUENCHEN,France,Paris,SCIENCES PO
9731,2022,147,Management and administration,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,23,Germany,Stuttgart,HdM,Hungary,BUDAPEST,BUDAPEST METROPOLITAN UNIVERSITY
37274,2022,5,"Motor vehicles, ships and aircraft",Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,20,Spain,LA CORUNA,UNIVERSITATEA DIN CRAIOVA,Italy,NAPOLI,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II.
345002,2023,66,"Travel, tourism and leisure",Spain,ISCED-5 - Short cycle within the first cycle / Short-cycle tertiary education (EQF-5),Female,1,20,Spain,MAJADAHONDA,IES MARIA DE ZAYAS Y SOTOMAYOR,Hungary,Budapest,-
209735,2022,7,Education,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,1,22,Germany,VECHTA,-,Finland,JOENSUU,KARELIA UAS KARELIA UNIVERSITY OF APPLIED SCIENCES
614059,2017,247,Computer use,United Kingdom,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,21,United Kingdom,STOKE ON TRENT,STAFFORDSHIRE UNIVERSITY,Germany,Donauw�rth,Airbus Helicopters
213613,2021,153,Medical diagnostic and treatment technology,Russian Federation,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,26,France,BESANCON,COMMUNAUTE D' UNIVERSITES ET ETABLISSEMENTS UNIVERSITE BOURGOGNE - FRANCHE - COMTE,Italy,VERONA,UNIVERSITA  DEGLI STUDI DI VERONA
80065,2018,90,Security services,Bulgaria,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,22,Bulgaria,Varna,Nikola Yonkov Vaptsarov Naval Academy,Greece,Piraeus,Stamco Ship Management Co. Ltd.
132879,2020,240,Literature and linguistics,United Kingdom,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,United Kingdom,GLASGOW,UNIVERSITY OF GLASGOW,Spain,Granada,Agifodent
658789,2022,159,Languages,United Kingdom,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,United Kingdom,BRISTOL,UNIVERSITY OF BRISTOL,Germany,Braunschweig,Sally Perel Gesamtschule
115593,2021,111,Business and administration,Belgium,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,22,Belgium,GENT,ARTEVELDEHOGESCHOOL,Finland,Pori,SATAKUNNAN AMMATTIKORKEAKOULU OY
229053,2021,91,Languages,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,24,Italy,PALERMO,UNIVERSITA DEGLI STUDI DI PALERMO,Spain,Martorell,Digitalmix Group SL
49984,2021,110,Medicine,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,1,26,Germany,München,TECHNISCHE UNIVERSITAET MUENCHEN,Italy,Brixen,Krankenhaus Brixen (Sanitätsbetrieb Südtirol)
535613,2017,134,Engineering and engineering trades,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,23,Italy,ANCONA,UNIVERSITA POLITECNICA DELLE MARCHE,Poland,LUBLIN,POLITECHNIKA LUBELSKA
191490,2022,124,Biological and related sciences,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,26,Germany,Bremen,BREMEN UNIVERSITY OF APPLIED SCIENCES,Sweden,Stockholm,Attana AB - Stockholm
491458,2018,301,Physics,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Yes,20,Spain,VALENCIA,UNIVERSITAT DE VALENCIA,Germany,MAINZ,Johannes Gutenberg-Universität Mainz
172758,2016,134,Business and administration,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,21,France,PARIS,Ecole Supérieure du Commerce Extérieur,Spain,MURCIA,UNIVERSIDAD DE MURCIA
362032,2016,120,Teacher training with subject specialization,Czech Republic,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,-,23,Czech Republic,Prague,UNIVERZITA KARLOVA V PRAZE,Finland,University of Jyv?skyl?,JYVASKYLAN YLIOPISTO
75736,2014,169,Psychology,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,Spain,SEVILLA,UNIVERSIDAD DE SEVILLA,Italy,PISA,UNIVERSITA DI PISA
39843,2019,169,History and archaeology,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,24,Germany,Gießen,JUSTUS-LIEBIG-UNIVERSITAET GIESSEN,Greece,Athína,ETHNIKO KAI KAPODISTRIAKO PANEPISTIMIO ATHINON
825436,2023,290,Languages,Poland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,21,Poland,WROCLAW,UWr,Germany,BERLIN,Freie Universitaet Berlin
512912,2024,291,Engineering and engineering trades,Italy,ISCED-8 - Third cycle / Doctoral or equivalent level (EQF-8),Female,0,27,Italy,ANCONA,UNIVPM,Spain,Puertollano,company: CNE de las pilas de combustible y tecnologías del hidrógeno Business Name: Centro Nacional del Hidrógeno
590993,2021,26,Humanities (except languages),Bosnia and Herzegovina,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,21,Croatia,Zagreb,Libertas International University,Germany,REGENSBURG,OSTBAYERISCHE TECHNISCHE HOCHSCHULE REGENSBURG
113876,2014,121,Economics,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,-,20,France,Toulouse,UNIVERSITE TOULOUSE 1 CAPITOLE,Turkey,Istanbul,BOGAZICI UNIVERSITESI
443309,2018,119,History and archaeology,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,25,Germany,Berlin,Freie Universitaet Berlin,France,Paris,UNIVERSITE PARIS I PANTHEON-SORBONNE
362289,2023,139,Architecture and construction,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,0,22,France,NANTES CEDEX 2,ensa nantes,Norway,Stavanger,Arkitektfirma Helen & Hard
287079,2023,61,Building and civil engineering,Estonia,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,27,Estonia,Tallinn,TTK University of Applied Sciences,Sweden,Örebrö,-
25235,2021,60,Arts,Slovakia,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,22,Czechia,OSTRAVA,OU,Spain,Barcelona,-
100570,2014,251,History and archaeology,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,21,France,Grenoble,UNIVERSITE PIERRE MENDES FRANCE GRENOBLE-II,United Kingdom,Dundee,UNIVERSITY OF DUNDEE
176169,2020,137,Building and civil engineering,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,23,France,Marseille,UNIVERSITE D'AIX MARSEILLE,Belgium,Bruxelles,UNIVERSITE LIBRE DE BRUXELLES
710667,2019,219,Literature and linguistics,United Kingdom,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,19,United Kingdom,GLASGOW,UNIVERSITY OF GLASGOW,Spain,Seville,UNIVERSIDAD DE SEVILLA
158922,2014,108,Business and administration,Netherlands,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Netherlands,GRONINGEN,RIJKSUNIVERSITEIT GRONINGEN,France,PARIS CEDEX 16,UNIVERSITE PARIS DAUPHINE
151648,2014,122,Law,Lithuania,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,Lithuania,VILNIUS,MYKOLO ROMERIO UNIVERSITETAS,Czech Republic,Praha,Policejni akademie Ceske republiky v Praze
256104,2021,104,Arts,Netherlands,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,Netherlands,GRONINGEN,RIJKSUNIVERSITEIT GRONINGEN,Spain,SALAMANCA,UNIVERSIDAD DE SALAMANCA
425615,2023,270,Medicine,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,0,22,Italy,PALERMO,UNIPA,Portugal,LISBOA,UNIVERSIDADE DE LISBOA
511344,2015,273,Domestic services,Turkey,ISCED-5 - Short-cycle within the first cycle / Short-cycle tertiary education (EQF-5),Female,No,20,Turkey,ISTANBUL,ISTANBUL SISLI MESLEK YUKSEKOKULU,Poland,SZCZECIN,ZACHODNIOPOMORSKI UNIWERSYTET TECHNOLOGICZNY W SZCZECINIE
604858,2018,150,Information and Communication Technologies (ICTs),Netherlands,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,23,Netherlands,AMSTERDAM,STICHTING HOGESCHOOL VAN AMSTERDAM,Czech Republic,Prague,Geewa a.s.
62685,2017,121,Education,Belgium,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,22,Belgium,KORTRIJK,KATHOLIEKE HOGESCHOOL VIVES ZUID,United Kingdom,Newcastle,UNIVERSITY OF NORTHUMBRIA AT NEWCASTLE.
107479,2014,122,"Business, administration and law",France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,22,France,LA ROCHELLE,GROUPE SUP DE CO LA ROCHELLE,Belgium,BRUXELLES,GROUPE AUDIT BELGIUM BVBA
214961,2023,160,Environment,Ukraine,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,1,26,Ukraine,KYIV,-,Germany,EBERSWALDE,HNEE
499756,2023,90,Arts,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,0,24,Italy,VENEZIA,IUAV,Hungary,Budapest,-
556575,2017,131,"Engineering, manufacturing and construction",Netherlands,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,20,Netherlands,ENSCHEDE,STICHTING SAXION,Ireland,Dublin,INSTITUTE OF TECHNOLOGY TALLAGHT
440954,2015,137,Political sciences and civics,Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,-,20,Italy,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,Poland,WARSZAWA,UNIWERSYTET WARSZAWSKI
411216,2016,289,Building and civil engineering,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,27,Spain,SANTANDER,UNIVERSIDAD DE CANTABRIA,Italy,UDINE,UNIVERSITA DEGLI STUDI DI UDINE
479254,2022,128,Information and Communication Technologies (ICTs),Poland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,23,Poland,RZESZOW,PRZ,Spain,LEIOA,UPV/EHU
517085,2021,82,Social work and counselling,Spain,ISCED-5 - Short-cycle within the first cycle / Short-cycle tertiary education (EQF-5),Female,No,20,Spain,Cartagena,Instituto de Educación Secundaria Mediterráneo de Cartagena,Portugal,BARCELOS,AGRUPAMENTO DE ESCOLAR DE BARCELOS
184711,2017,83,Languages,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,France,BREST,UNIVERSITE DE BRETAGNE OCCIDENTALE,Ireland,Shandon,Cork English College
570603,2021,74,Child care and youth services,Spain,ISCED-5 - Short-cycle within the first cycle / Short-cycle tertiary education (EQF-5),Female,No,22,Spain,Palencia,IES Jorge Manrique,Italy,TRENTO,CITTA-FUTURA SCS
786582,2023,105,Political sciences and civics,Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,21,Italy,ROMA,LUISS GUIDO CARLI,France,PARIS,SCIENCES PO
284943,2022,150,Teacher training without subject specialization,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,20,Spain,GRANADA,UGR,Slovakia,BRATISLAVA,UK BA
65284,2023,81,Engineering and engineering trades,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,0,22,France,BLOIS CEDEX,INSA CENTRE VAL DE LOIRE,Italy,TORINO,POLITO
